"Class","RelPath","InBase","InRec","InCur","RecCorrupt","IsText","RecSize"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite.Curved\NetTopologySuite\src\NetTopologySuite\Geometries\Utilities\NoninvertibleTransformationException.cs","False","True","True","False","True","555"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite.Curved\NetTopologySuite\src\NetTopologySuite\Operation\Overlay\OverlayNodeFactory.cs","False","True","True","False","True","618"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite.Curved\NetTopologySuite\test\NetTopologySuite.TestRunner\XmlTest.cs","False","True","True","False","True","60188"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite.Curved\NetTopologySuite\test\NetTopologySuite.Tests.NUnit\TestData\africa.wkt","False","True","True","False","False","311097"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite.Curved\NetTopologySuite\test\NetTopologySuite.Tests.NUnit\TestData\Base 64.txt","False","True","True","False","True","588367"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite.Curved\NetTopologySuite\test\NetTopologySuite.Tests.NUnit\TestData\europe.wkt","False","True","True","False","False","555071"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite.Curved\NetTopologySuite\test\NetTopologySuite.Tests.NUnit\TestData\multipolygons.xml","False","True","True","False","True","263554"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite.Curved\NetTopologySuite\test\NetTopologySuite.Tests.NUnit\TestData\world.wkt","False","True","True","False","False","8160482"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.Samples.Shapefiles\blob\wkt.JPG","False","True","True","False","False","29080"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.Samples.Shapefiles\error_union.shp","False","True","True","False","False","716172"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.Samples.Shapefiles\graph","False","True","True","False","False","366428"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.Samples.Shapefiles\Issue167.shp","False","True","True","False","False","70700"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.Samples.Shapefiles\Strade.dbf","False","True","True","False","False","128172"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.TestRunner.Tests\general\TestPreparedPointPredicate.xml","False","True","True","False","True","928"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.TestRunner.Tests\misc\TestBufferJagged.xml","False","True","True","False","True","130332"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.TestRunner.Tests\robust\overlay\TestOverlay-geos-1034.xml","False","True","True","False","True","572569"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.TestRunner.Tests\robust\overlay\TestOverlay-osmwater.xml","False","True","True","False","True","19764"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.TestRunner.Tests\robust\overlay\TestOverlay-pg-2176.xml","False","True","True","False","True","2595"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.TestRunner.Tests\robust\TestBufferJagged.xml","False","True","True","False","True","130382"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.TestRunner.Tests\stmlf\stmlf-cases-20061018_int.xml","False","True","True","False","True","13352612"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\data\NetTopologySuite.TestRunner.Tests\validate\TestRelateLA.xml","False","True","True","False","True","83768"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\doc\images\minClearance.png","False","True","True","False","False","6539"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\src\NetTopologySuite\Geometries\CoordinateArrays.cs","False","True","True","False","True","29279"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\src\NetTopologySuite\Geometries\Geometry.cs","False","True","True","False","True","105075"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\src\NetTopologySuite\Geometries\GeometryCollection.cs","False","True","True","False","True","17268"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\src\NetTopologySuite\Operation\Valid\PolygonNode.cs","False","True","True","False","True","5480"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\test\NetTopologySuite.Samples.Console\Tests\Github\Issue566and567.wkt","False","True","True","False","False","2651637"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\test\NetTopologySuite.Tests.NUnit\TestData\bc_20K.wkt","False","True","True","False","False","19040856"
"CONFLICT_NEW","Servers\Libs\NetTopologySuite\test\NetTopologySuite.Tests.NUnit\TestData\papua.wkt","False","True","True","False","False","121080"
